genus,Mock01,Mock02,Mock03,Mock04,Mock05,Mock06,Mock07,Mock08,Mock09,Mock10
Halomonas,113,13,30,42,37,20,52,53,408,19
Helicobacter,60,173,155,127,201,126,93,91,74,141
Klebsiella,177634.031,75502,172475,119117,140008,311045,251437,1101512,1459254,229208
Lachnobacterium,11517,8320,6734,17149,7170,5527,8624,4926,4811,9293
Lachnoclostridium,216,274,156,786,254,215,561,116,181,141
Lachnospira,28697,193529,8462,25578,13634,15411,5839,3094,5192,22276
Lactobacillus,1532651,987803,2142042,686287,451315,537781,1744999,515717,677354,1272809
Leuconostoc,7086,78447,3235,4646,29606,3927,2869,36973,2192,52039
Listeria,652,251,140,36,535,174,305,489,207,1608
Marvinbryantia,189,75,214,475,257,73,183,62,308,197
Massiliomicrobiota,35,60,96,51,110,65,60,38,66,85
Megamonas,273,27,50,24,68,42,70,72,17,240
Megasphaera,1678,1565,185911,52982,11545,403,1086,511,2748,750
Morganella,41,17,7,11,6,6,12,5,3,7
Negativicoccus,1,4,0,0,0,0,3,0,0,0
Neisseria,0,2,4,2,3,4,11,6,5,1
Nesterenkonia,26,9,9,16,15,9,62,37,8,11
Odoribacter,17826,133351,21689,132322,934646,135765,55549,850128,31115,64120
Olsenella,232,234,1135,143,157,182,315,225,793,294
Oribacterium,28,0,6,5,16,10,6,3,5,92
Oscillibacter,244,448,324,2890,1456,752,1734,1989,524,187
Oxalobacter,25,58,107,51,79,130,13,58,32,15
Paenibacillus,38,62,75,74,48,52,154,132,56,43
Pantoea,1603,238,266,115,114,157,293,1512,1214,158
Parabacteroides,13415,3437,34325,10818,7897,6724,15208,7565,24708,25436
Paraprevotella,704,679,559,1443,1671,708,990,1153,1171,1765
Pediococcus,50693,238723,8241,21510,73457,265602,149799,102225,149838,202181
Pelosinus,10,9,4,0,8,0,12,9,9,32
Peptoniphilus,2876,10474,83120,16350,206466,55656,7835,27082,551349,41608
Peptostreptococcus,16,65,132,63,93,106,55,49,56,43
Phascolarctobacterium,432,396,384,859,571,254,737,338,372,309
Phyllobacterium,22,17,25,57,51,240,166,25,17,16
Porphyromonas,215,286,336,286,469,172,355,272,201,189
Prevotella,29810,29657,33049,37416,41804,31901,51556,51671,45902,28090
Propionibacterium,36,64,76,54,26,31,104,74,78,28
Propionimicrobium,12,7,16,5,13,5,29,13,7,10
Proteus,1947,218,127,61,84,217,230,629,803,28
Providencia,1385,1611,884,852,1955,921,1255,1059,1397,1245
Pseudobutyrivibrio,604,1126,445,1078,656,594,788,547,534,588
Pseudomonas,167,65,144,114,63,42,246,257,326,60
Ralstonia,12,10,23,7,9,2,26,36,6,5
Robinsoniella,658,143,310,396,625,359,153,400,212,479
Roseburia,197669,242807,59611,21918,72809,68777,70307,39564,29758,127273
Rothia,8,4,2,5,2,1,8,3,3,0
Ruminococcus,87375,297026,315683,196028,170420,307422,438538,179834,44054,57896
Sanguibacteroides,79,794,6,356,50,404,14,67,39,399
Selenomonas,37,44,96,80,47,54,175,72,42,33
Slackia,134,116,1025,1439,496,364,1144,235,1863,224
Sneathia,77,328,807,325,664,720,789,346,277,380
Solobacterium,11325,7887,8388,10460,11338,7349,9260,9637,10087,17257
Sporolactobacillus,7,4,10,6,3,1,4,11,18,5
Staphylococcus,186221.3994,8762,33172,16499,65100,168397,176707,972793,49071,39622
Streptococcus,104517,188211,234312,377104,170731,245572,447022,459669,486659,73226
Streptomyces,19,14,35,28,22,18,104,89,44,105
Subdoligranulum,86,38,62,51,226,35,97,31,22,60
Succinatimonas,159,241,434,213,571,242,260,157,140,145
Succiniclasticum,13,9,60,61,19,6,113,17,29,5
Sutterella,29622,3667,15559,12691,7190,105003,30758,44745,129252,13801
Treponema,81,82,59,115,94,70,87,54,71,54
Veillonella,548,565,725,385,592,427,578,459,444,560
Weissella,334,446,144,163,284,512,341,619,346,987
Xylanibacter,145,143,436,287,174,258,119,119,112,45
unclassified,746851.0001,631022,658326,814835,770438,678547,696817,728605,782867,766382
